2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. is departed.
2018-02-08 23:25:58 INFO  ConsoleHelper:11 - Train: №14. Direction - SOUTH, drove out Tunnel: Gotthard-Basistunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:25:58 INFO  ConsoleHelper:11 - Train: №12. Direction - WEST, drove in Tunnel: Gotthard-Basistunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:25:58 INFO  ConsoleHelper:11 - Train: №21. Direction - WEST, is arrived to station.
2018-02-08 23:25:58 INFO  ConsoleHelper:11 - Train: №22. Direction - EAST, is arrived to station.
2018-02-08 23:25:59 INFO  ConsoleHelper:11 - Train: №20. Direction - NORTH, drove out Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:25:59 INFO  ConsoleHelper:11 - Train: №19. Direction - EAST, drove in Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:26:01 INFO  ConsoleHelper:11 - Train: №18. Direction - WEST, is arrived to station.
2018-02-08 23:26:01 INFO  ConsoleHelper:11 - Train: №19. Direction - EAST, drove out Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:01 INFO  ConsoleHelper:11 - Train: №17. Direction - NORTH, drove in Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:26:03 INFO  ConsoleHelper:11 - Train: №12. Direction - WEST, drove out Tunnel: Gotthard-Basistunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:03 INFO  ConsoleHelper:11 - Train: №11. Direction - NORTH, drove in Tunnel: Gotthard-Basistunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:26:03 INFO  ConsoleHelper:11 - Train: №17. Direction - NORTH, drove out Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:03 INFO  ConsoleHelper:11 - Train: №13. Direction - EAST, drove in Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:26:04 INFO  ConsoleHelper:11 - Train: №14. Direction - SOUTH, is arrived to station.
2018-02-08 23:26:05 INFO  ConsoleHelper:11 - Train: №20. Direction - NORTH, is arrived to station.
2018-02-08 23:26:05 INFO  ConsoleHelper:11 - Train: №19. Direction - EAST, is arrived to station.
2018-02-08 23:26:05 INFO  ConsoleHelper:11 - Train: №13. Direction - EAST, drove out Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:05 INFO  ConsoleHelper:11 - Train: №15. Direction - WEST, drove in Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 1.
2018-02-08 23:26:06 INFO  ConsoleHelper:11 - Train: №12. Direction - WEST, is arrived to station.
2018-02-08 23:26:08 INFO  ConsoleHelper:11 - Train: №11. Direction - NORTH, drove out Tunnel: Gotthard-Basistunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:08 INFO  ConsoleHelper:11 - Train: №15. Direction - WEST, drove out Tunnel: Seikan Tunnel. Direction - NONE. Trains in tunnel - 0.
2018-02-08 23:26:09 INFO  ConsoleHelper:11 - Train: №17. Direction - NORTH, is arrived to station.
2018-02-08 23:26:11 INFO  ConsoleHelper:11 - Train: №13. Direction - EAST, is arrived to station.
2018-02-08 23:26:12 INFO  ConsoleHelper:11 - Train: №15. Direction - WEST, is arrived to station.
2018-02-08 23:26:15 INFO  ConsoleHelper:11 - Train: №11. Direction - NORTH, is arrived to station.
